model,day,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget,loss,time,valid_rate,n_valid_o3
Debiased_Whittle,2025-07-18,8.0590,0.1984,0.2690,1.2284,0.0020,-0.0564,1.3285,-6141.7760,91.1277,,
Vecchia_mm20,2025-07-18,12.4162,0.3260,0.4326,1.8496,-0.0099,-0.0402,2.3391,1.4033,40.3520,,
Corridor_4x4_lag643,2025-07-19,11.3601,0.1794,0.2467,1.1778,-0.0129,-0.0362,2.0460,1.3558,29.2442,0.9901,143567.0000
Debiased_Whittle,2025-07-19,10.9129,0.1750,0.2429,1.0744,0.0142,0.0891,1.4498,311659.4240,82.0457,,
Vecchia_mm20,2025-07-19,14.8104,0.2947,0.4308,1.9959,-0.0156,-0.0436,3.0962,1.5319,44.6848,,
Corridor_4x4_lag643,2025-07-20,10.2772,0.1604,0.2410,1.1650,-0.0195,-0.0477,2.8411,1.4240,30.1734,0.9920,143852.0000
Debiased_Whittle,2025-07-20,8.6372,0.1573,0.2345,1.2699,0.0004,0.0011,1.9990,350938.2240,88.8548,,
Vecchia_mm20,2025-07-20,11.6658,0.2493,0.3922,1.8160,-0.0244,-0.0569,3.8305,1.5595,44.5989,,
Corridor_4x4_lag643,2025-07-21,5.4765,0.1000,0.1363,1.7253,-0.0001,0.0055,2.9995,1.3713,43.3846,0.9741,141253.0000
Debiased_Whittle,2025-07-21,4.3096,0.0769,0.1016,1.6410,0.0003,0.0004,2.7984,478344.3680,173.7100,,
Vecchia_mm20,2025-07-21,5.9799,0.1418,0.2190,2.7936,-0.0041,0.0039,3.5789,1.4441,79.4768,,
Corridor_4x4_lag643,2025-07-22,5.8058,0.1182,0.1569,1.7062,0.0004,0.0038,2.2653,1.2842,42.0461,0.9917,143805.0000
Debiased_Whittle,2025-07-22,3.5224,0.0810,0.1158,2.0076,0.0000,0.0001,1.7771,8569.9200,180.0956,,
Vecchia_mm20,2025-07-22,6.4679,0.2406,0.3374,3.5652,0.0002,-0.0010,3.2223,1.3658,62.7078,,
Corridor_4x4_lag643,2025-07-23,5.0132,0.0999,0.1296,1.7530,0.0006,-0.0000,1.9345,1.2341,41.7941,0.9958,144396.0000
Debiased_Whittle,2025-07-23,3.4661,0.0767,0.0840,1.4347,-0.0000,0.0000,1.0905,-174112.2080,171.0217,,
Vecchia_mm20,2025-07-23,6.0519,0.1859,0.2591,3.5220,-0.0030,-0.0013,2.8170,1.3359,70.2765,,
Corridor_4x4_lag643,2025-07-24,4.6229,0.1174,0.1727,1.6257,0.0010,0.0064,1.8406,1.1756,37.9158,0.9937,144094.0000
Debiased_Whittle,2025-07-24,2.7881,0.1101,0.1330,1.6708,0.0001,0.0002,1.4162,-310802.4320,111.4777,,
Vecchia_mm20,2025-07-24,4.7106,0.1694,0.2481,2.4865,-0.0019,0.0006,2.2126,1.2412,62.8086,,
