direction,sign,space_scale,tau,dr,dc,empirical_variance,independent_day_se,n_days,mean_n_rectangles_per_day,truth,z_truth,fitted_432,z_fitted_432,zero,z_zero,half_speed,z_half_speed,double_speed,z_double_speed,reversed,z_reversed,rotated_45,z_rotated_45,rotated_90,z_rotated_90
lon,-1,1,2,0,-1,2.890632191926921,0.006537276196605655,3,100270.33333333333,2.903003072710881,-1.8923601224594246,2.8855578134417557,0.7762221348090232,2.8147840493899086,11.602407525078277,2.8755062695381692,2.3137958277800315,2.8988943046890254,-1.263846365615429,2.903003072710881,-1.8923601224594246,2.886387304061344,0.6493358606725296,2.8862739375908717,0.6666774058456256
lon,1,1,2,0,1,2.890632191926921,0.006537276196605655,3,100270.33333333333,2.903003072710881,-1.8923601224594246,2.8855578134417557,0.7762221348090232,2.8147840493899086,11.602407525078277,2.8755062695381692,2.3137958277800315,2.8988943046890245,-1.2638463656152932,2.903003072710881,-1.8923601224594246,2.886387304061344,0.6493358606725296,2.8862739375908717,0.6666774058456256
lon,-1,2,1,0,-2,4.383791469713624,0.008895939462631822,3,116592.33333333333,4.395607863933977,-1.3282907634419794,4.378096642449831,0.6401602987199151,3.5690809357530044,91.58229295319319,3.999891938629834,43.15446757437971,4.504485686759457,-13.567337947028514,4.395607863933977,-1.3282907634419794,4.22639531449116,17.693033533290112,4.225161671940866,17.83170832480334
lon,1,2,1,0,2,4.383791469713624,0.008895939462631822,3,116592.33333333333,4.395607863933977,-1.3282907634419794,4.378096642449831,0.6401602987199151,3.5690809357530044,91.58229295319319,3.9998919386298337,43.15446757437976,4.504485686759457,-13.567337947028514,4.395607863933977,-1.3282907634419794,4.22639531449116,17.693033533290112,4.225161671940866,17.83170832480334
lon,-1,2,2,0,-2,4.43753481515397,0.00513349689945669,3,99250.66666666667,4.462505603929314,-4.864284378546373,4.436212726513557,0.25754152896307425,4.131040368196679,59.70480804025218,4.350726624546363,16.910147664995165,4.448382441192146,-2.113106572505009,4.462505603929314,-4.864284378546373,4.398833704725796,7.538937138984282,4.398416555569419,7.620197372417138
lon,1,2,2,0,2,4.43753481515397,0.00513349689945669,3,99250.66666666667,4.462505603929314,-4.864284378546373,4.436212726513557,0.25754152896307425,4.131040368196679,59.70480804025218,4.350726624546365,16.91014766499482,4.448382441192146,-2.113106572505009,4.462505603929314,-4.864284378546373,4.398833704725796,7.538937138984282,4.398416555569421,7.620197372416793
parallel,-1,1,1,-2,3,6.41119423219464,0.0349381464751524,3,113552.33333333333,6.404231687023234,0.19928204194682073,6.389867814544315,0.6104049528068519,4.295345916246882,60.55983300237533,5.138396578868873,36.43002797045817,6.837649537720139,-12.206008290359359,6.404231687023233,0.19928204194684615,6.233215579645281,5.094106886177699,5.790360272186133,17.769516206305806
parallel,1,1,1,2,-3,6.41119423219464,0.0349381464751524,3,113552.33333333333,6.404231687023233,0.19928204194684615,6.389867814544315,0.6104049528068519,4.295345916246882,60.55983300237533,5.138396578868873,36.43002797045817,6.837649537720139,-12.206008290359359,6.404231687023234,0.19928204194682073,6.233215579645281,5.094106886177699,5.790360272186133,17.769516206305806
parallel,-1,1,2,-2,3,6.604064677443447,0.053765803982243204,3,96648.0,6.585128096268209,0.35220492901943207,6.535129655156332,1.2821350594865395,5.517125520655471,20.21617973288284,6.175437970147683,7.972106349182905,6.463636926574761,2.6118413651000947,6.585128096268209,0.35220492901943207,6.426460513144302,3.3032922628256687,6.2768519627246695,6.085888994180086
parallel,1,1,2,2,-3,6.604064677443447,0.053765803982243204,3,96648.0,6.585128096268209,0.35220492901943207,6.535129655156333,1.2821350594865228,5.517125520655471,20.21617973288284,6.175437970147683,7.972106349182905,6.463636926574761,2.6118413651000947,6.585128096268209,0.35220492901943207,6.426460513144302,3.3032922628256687,6.2768519627246695,6.085888994180086
parallel,-1,2,1,-4,6,7.394921954707923,0.08956069763940225,3,109056.33333333333,7.358502643738062,0.4066438954785259,7.371221273344148,0.2646326121665659,4.770767564496634,29.30028974067294,5.653234896235826,19.447001914663968,10.112823629252759,-30.34703554329053,7.358502643738062,0.4066438954785259,7.745649322315289,-3.916085703346109,7.242502712948314,1.701854114326952
parallel,1,2,1,4,-6,7.394921954707923,0.08956069763940225,3,109056.33333333333,7.358502643738062,0.4066438954785259,7.371221273344148,0.2646326121665659,4.770767564496634,29.30028974067294,5.653234896235826,19.447001914663968,10.112823629252759,-30.34703554329053,7.358502643738062,0.4066438954785259,7.745649322315289,-3.916085703346109,7.242502712948314,1.701854114326952
parallel,-1,2,2,-4,6,9.275023222126764,0.16625852226119503,3,92695.0,9.298048691198867,-0.13849196275141407,9.224264489012903,0.3053000376974264,6.769105290529198,15.07241792791064,7.855268393844488,8.539440919917574,9.281959687492023,-0.041720961253111095,9.298048691198867,-0.13849196275141407,8.950618992557711,1.9512036144493594,8.545558013177263,4.387535742700143
parallel,1,2,2,4,-6,9.275023222126764,0.16625852226119503,3,92695.0,9.298048691198867,-0.13849196275141407,9.224264489012903,0.3053000376974264,6.769105290529198,15.07241792791064,7.855268393844488,8.539440919917574,9.281959687492023,-0.041720961253111095,9.298048691198867,-0.13849196275141407,8.950618992557711,1.9512036144493594,8.545558013177263,4.387535742700143
perpendicular,-1,1,1,-4,-1,5.815222337210972,0.023791054607544396,3,113025.66666666667,5.796044483765762,0.8060951379233522,5.79219890904793,0.9677346608981837,4.445046958053586,57.59204044375944,4.988888600929011,34.732959505709445,6.6093714459953725,-33.38015577218536,5.796044483765763,0.8060951379233148,6.947106665467732,-47.57604683475559,7.44044856294703,-68.31249192377884
perpendicular,1,1,1,4,1,5.815222337210972,0.023791054607544396,3,113025.66666666667,5.796044483765763,0.8060951379233148,5.792198909047931,0.9677346608981464,4.445046958053586,57.59204044375944,4.988888600929011,34.732959505709445,6.609371445995373,-33.3801557721854,5.796044483765762,0.8060951379233522,6.947106665467732,-47.57604683475559,7.44044856294703,-68.31249192377884
perpendicular,-1,1,2,-4,-1,6.704264547290815,0.006832426103182099,3,96184.0,6.696991215859248,1.0645312985059336,6.662754460706559,6.075453427139625,5.870861145912496,121.9776677848259,6.276854071615409,62.55617978456377,6.92319996172335,-32.04358322010532,6.696991215859249,1.0645312985058037,7.111422857783632,-59.592054761220076,7.24278262991316,-78.81798858703186
perpendicular,1,1,2,4,1,6.704264547290815,0.006832426103182099,3,96184.0,6.696991215859249,1.0645312985058037,6.662754460706559,6.075453427139625,5.870861145912496,121.9776677848259,6.276854071615409,62.55617978456377,6.92319996172335,-32.04358322010532,6.696991215859248,1.0645312985059336,7.111422857783632,-59.592054761220076,7.24278262991316,-78.81798858703186
perpendicular,-1,2,1,-8,-2,6.779659158125413,0.057613834379827776,3,107847.0,6.74916723396716,0.5292465687534367,6.753159738674926,0.45994889483983475,4.827332827598109,33.88641550319844,5.538479946377718,21.54307598353958,8.361971264085572,-27.464099950864767,6.749167233967161,0.5292465687534212,8.056667020416107,-22.164951804315432,8.460241443255873,-29.169769782218818
perpendicular,1,2,1,8,2,6.779659158125413,0.057613834379827776,3,107847.0,6.749167233967161,0.5292465687534212,6.753159738674926,0.45994889483983475,4.827332827598109,33.88641550319844,5.538479946377718,21.54307598353958,8.361971264085572,-27.464099950864767,6.74916723396716,0.5292465687534367,8.056667020416107,-22.164951804315432,8.460241443255873,-29.169769782218818
perpendicular,-1,2,2,-8,-2,8.711865305290216,0.027086160892302064,3,91720.66666666667,8.599195817551852,4.159669884054506,8.551740022604283,5.9117009354928625,6.948901015907504,65.08727081672728,7.673147802506193,38.34864257485925,9.253069826489845,-19.980850123113644,8.59919581755185,4.159669884054572,9.659878934574088,-34.99992608968441,10.226558838956294,-55.921307552173495
perpendicular,1,2,2,8,2,8.711865305290216,0.027086160892302064,3,91720.66666666667,8.59919581755185,4.159669884054572,8.551740022604285,5.911700935492797,6.948901015907504,65.08727081672728,7.673147802506193,38.34864257485925,9.253069826489845,-19.980850123113644,8.599195817551852,4.159669884054506,9.659878934574088,-34.99992608968441,10.226558838956294,-55.921307552173495
metric_perpendicular,-1,1,1,-3,-2,5.45879261800982,0.020264457401409627,3,114552.66666666667,5.438205765707297,1.0159093774250962,5.4335218995446395,1.247046390860814,4.312882845679427,56.54776486888229,4.773361142318038,33.82431920649909,6.108991331159214,-32.085670998729306,5.438205765707296,1.0159093774251402,6.115329156572164,-32.398426740835134,6.712475839609812,-61.86611349943098
metric_perpendicular,1,1,1,3,2,5.45879261800982,0.020264457401409627,3,114552.66666666667,5.438205765707296,1.0159093774251402,5.4335218995446395,1.247046390860814,4.312882845679427,56.54776486888229,4.773361142318038,33.82431920649909,6.108991331159214,-32.085670998729306,5.438205765707297,1.0159093774250962,6.115329156572164,-32.398426740835134,6.712475839609812,-61.86611349943098
metric_perpendicular,-1,1,2,-3,-2,6.195667476775845,0.0031962973682261755,3,97454.33333333333,6.1956998616188645,-0.010131986886338543,6.166078027773258,9.257414312175772,5.557007917723256,199.81230951831643,5.865509727201064,103.2938151677689,6.392927569992358,-61.71518807274951,6.1956998616188645,-0.010131986886338543,6.436805238877689,-75.44284349101923,6.608025438264031,-129.0111381961401
metric_perpendicular,1,1,2,3,2,6.195667476775845,0.0031962973682261755,3,97454.33333333333,6.1956998616188645,-0.010131986886338543,6.166078027773258,9.257414312175772,5.557007917723256,199.81230951831643,5.865509727201064,103.2938151677689,6.392927569992358,-61.71518807274951,6.1956998616188645,-0.010131986886338543,6.436805238877689,-75.44284349101923,6.608025438264032,-129.0111381961404
metric_perpendicular,-1,2,1,-6,-4,6.619598904253713,0.02592778877292872,3,109548.33333333333,6.565543961969321,2.0848265449011447,6.569202934190183,1.9437048992063872,4.777837552811199,71.03426241135926,5.449255949153697,45.13855637091483,7.997746589096005,-53.1533057798288,6.565543961969321,2.0848265449011447,7.566004952190275,-36.501610539372614,8.295071231303329,-64.6207180150658
metric_perpendicular,1,2,1,6,4,6.619598904253713,0.02592778877292872,3,109548.33333333333,6.565543961969321,2.0848265449011447,6.569202934190184,1.9437048992063528,4.777837552811199,71.03426241135926,5.449255949153697,45.13855637091483,7.997746589096005,-53.1533057798288,6.565543961969321,2.0848265449011447,7.5660049521902755,-36.50161053937265,8.295071231303329,-64.6207180150658
metric_perpendicular,-1,2,2,-6,-4,8.328073639500836,0.038212201755315,3,93154.33333333333,8.221854426502041,2.779719778487265,8.1795310518966,3.887307738910263,6.791099154911548,40.22208650605976,7.4266427550645275,23.590132026635366,8.794464342480234,-12.205282123386853,8.221854426502041,2.779719778487265,8.840583816499088,-13.412212682221734,9.460538261498517,-29.63620440531575
metric_perpendicular,1,2,2,6,4,8.328073639500836,0.038212201755315,3,93154.33333333333,8.221854426502041,2.779719778487265,8.1795310518966,3.887307738910263,6.791099154911548,40.22208650605976,7.4266427550645275,23.590132026635366,8.794464342480232,-12.205282123386807,8.221854426502041,2.779719778487265,8.840583816499088,-13.412212682221734,9.460538261498517,-29.63620440531575
