tau,dr,dc,h_lat,h_lon,n_pairs,empirical,truth,fitted_432,zero,half_speed,double_speed,reversed,rotated_45,rotated_90,asymmetry_empirical,asymmetry_truth,asymmetry_fitted_432,asymmetry_zero,asymmetry_half_speed,asymmetry_double_speed,asymmetry_reversed,asymmetry_rotated_45,asymmetry_rotated_90
1,-5,3,-0.2200000000000002,0.18899999999996453,341360,9.592179568890192,9.705982791384816,9.611529093402233,8.440264552375055,9.161289037758676,10.378081227074201,6.772666236188864,10.031676580764454,9.879787019571843,2.7591695984728215,2.933316555195952,2.8921066042650576,0.0,1.586394588709899,3.388830512312002,-2.933316555195952,4.418817099694516,2.4444729447995517
1,-5,4,-0.2200000000000002,0.2519999999999527,339033,9.746852000174021,9.874145895758609,9.77237153184804,8.704415897869563,9.381659717769857,10.465890887625655,6.8418788315701855,10.114861081288675,9.928517917173604,2.8765436275697898,3.0322670641884235,2.997125284657498,0.0,1.5560156682454336,4.124856174332394,-3.0322670641884235,3.8071684196399653,1.885289142167025
1,-5,5,-0.2200000000000002,0.3149999999999409,336785,9.89546516056184,10.030799615325794,9.921720740624185,8.982611136022584,9.595721812368808,10.544404040472298,7.100658029624839,10.202379059461997,9.993830387180328,2.789243793288832,2.930141585700955,2.9005843955525705,0.0,1.4480869466790516,4.773805084395253,-2.930141585700955,3.178405167773837,1.4304998941656848
1,-5,6,-0.2200000000000002,0.37799999999992906,334529,10.029633472616862,10.17288557813553,10.056775956588154,9.254837932740571,9.795230168582666,10.613619506794796,7.483114525787244,10.290245366333323,10.07104580595954,2.5517340611516035,2.689771052348286,2.6636797249570563,0.0,1.2980289361867356,5.169720427253534,-2.689771052348286,2.608475897331349,1.0707844274037779
1,-4,-6,-0.17600000000000016,-0.37799999999992906,337785,8.810769567673798,8.761572372932575,8.679852016630159,9.013415594494194,8.787245880513844,9.269820009120519,9.709487874141512,9.856287116643852,10.156579791211819,-1.0388764744143586,-0.9479155012089375,-0.9325204278690329,0.0,-0.5648548366742094,-1.0182105564873805,0.9479155012089375,0.8242971057413051,2.4241750209697193
1,-4,-5,-0.17600000000000016,-0.3149999999999409,340025,8.619949533118906,8.598892453490134,8.525848813370175,8.67389412697756,8.507374194805196,9.306145095624274,9.429684983509866,9.753348897392241,10.045396902979293,-0.9519233551107877,-0.8307925300197319,-0.8180275131467845,0.0,-0.5146224830014372,-0.819216535639578,0.8307925300197319,1.1517542780651553,2.9633236468489077
1,-4,-4,-0.17600000000000016,-0.2519999999999527,342320,8.501067316915414,8.496960299629846,8.431552891906495,8.316047694019726,8.256876787779369,9.38124494617549,9.095653894042794,9.665773262806923,9.93339496863108,-0.7459236584302928,-0.5986935944129481,-0.5907086731532836,0.0,-0.38654813887843176,-0.5451271012629064,0.5986935944129481,1.5769025323564723,3.5628910296308103
1,-4,-3,-0.17600000000000016,-0.18899999999996453,344570,8.454116343570181,8.470794220508356,8.410963261726323,7.964420877060233,8.066956224541611,9.487272684999645,8.701405394588484,9.600579983257965,9.825870042709319,-0.3814878005061857,-0.23061117408012777,-0.23034197140714596,0.0,-0.154853477853786,-0.19618900046634735,0.23061117408012777,2.1118770349288667,4.15385558449793
1,-4,-2,-0.17600000000000016,-0.12599999999997635,346844,8.4971064669106,8.524526608278629,8.467338346546997,7.657313281211118,7.96774178658365,9.614475684455899,8.244242463476397,9.563672543546003,9.72926036169689,0.14976476023801055,0.2802841448022324,0.26954150469393845,0.0,0.19377581391655774,0.22667298364872046,-0.2802841448022324,2.7551711918435338,4.576745056713875
1,-4,-1,-0.17600000000000016,-0.06299999999998818,349002,8.63588140951809,8.649796150228372,8.591930879694479,7.443053840474928,7.977496175288369,9.753060364597964,7.729237092517192,9.55866083235275,9.650567115419037,0.8326902081519876,0.9205590577111806,0.8961236654940539,0.0,0.6423437723653427,0.7236000865906913,-0.9205590577111806,3.472048484446418,4.61177822858796
1,-4,0,-0.17600000000000016,0.0,350955,8.804367352363773,8.828930515420847,8.767286363862555,7.365546998356625,8.094341948228072,9.894527134022152,7.177530182447321,9.586050338428095,9.596401147731752,1.5670035924178585,1.6514003329735258,1.6126214305792512,0.0,1.1297602441582564,1.2966167913617976,-1.6514003329735258,4.157757153021572,4.199679706704684
1,-4,1,-0.17600000000000016,0.06299999999998818,348982,9.004531789512372,9.04073097003546,8.972865108363532,7.443053840474928,8.297169570253192,10.032320588101594,6.639623880135881,9.643123290499208,9.571812009570433,2.3173651865921148,2.401107089899579,2.350931458903708,0.0,1.5585103829855447,1.9488692254781483,-2.401107089899579,4.605580235007897,3.53195834661737
1,-4,2,-0.17600000000000016,0.12599999999997635,346820,9.200660234708717,9.265604099473363,9.189897310502554,7.657313281211118,8.55493600147521,10.161922061893293,6.208268059753402,9.724562390748462,9.579231216615947,2.9373048211672463,3.057336039719961,3.003121210150989,0.0,1.835605128512472,2.681277199876387,-3.057336039719961,4.61060646426529,2.8199487173554303
1,-4,3,-0.17600000000000016,0.18899999999996453,344628,9.398856378382401,9.488340039513616,9.40394261509953,7.964420877060233,8.837125549804284,10.28060819159188,6.0046525592547395,9.823559575855622,9.617915807134167,3.3504211649626283,3.483687480258877,3.4348417094544397,0.0,1.924603384131645,3.484192874964873,-3.483687480258877,4.210796866396438,2.1750149083476638
1,-4,4,-0.17600000000000016,0.2519999999999527,342262,9.588604622600228,9.698706642675726,9.60537925970506,8.316047694019726,9.119900394913799,10.387071454077784,6.105406911438236,9.933007836752905,9.68412157567792,3.4466467406797268,3.5932997312374892,3.5550367441290502,0.0,1.8564053899397086,4.318533297725754,-3.5932997312374892,3.6253840817747314,1.6355630572141049
1,-4,5,-0.17600000000000016,0.3149999999999409,339925,9.783592675114091,9.890795126602615,9.788730993002442,8.67389412697756,9.387552373481963,10.48102906068038,6.470849886460792,10.046446507851751,9.771932822507553,3.293959452885235,3.419945240141823,3.3905367979543106,0.0,1.6922045716263217,5.078672410654993,-3.419945240141823,3.022520517759914,1.204810737958816
1,-4,6,-0.17600000000000016,0.37799999999992906,337633,9.94806670937318,10.061939398022306,9.95161005580036,9.013415594494194,9.631330667485534,10.562883322937585,6.984342245703289,10.158616541328632,9.874420775245357,2.958765887684274,3.077597152319017,3.0527381134992773,0.0,1.486540626448674,5.557985648860081,-3.077597152319017,2.4768804951686665,0.8714291273185388
1,-3,-6,-0.13200000000000012,-0.37799999999992906,340869,8.361601242507225,8.311597297278833,8.238763206591784,8.785843336086442,8.43217552718649,8.86684868845898,9.656621563375142,9.621664914386965,10.007432840392768,-1.4308779678082466,-1.345024266096308,-1.3241077357069475,0.0,-0.7987712913912155,-1.4229571909151648,1.345024266096308,0.5324669518829062,2.1332507203915707
1,-3,-5,-0.13200000000000012,-0.3149999999999409,343091,8.11724921184968,8.08613170103205,8.024578252425433,8.374197591317966,8.065520803167793,8.917544181230447,9.35822158245094,9.484780947635981,9.86615765602992,-1.3770132028114972,-1.2720898814188892,-1.2522228652026222,0.0,-0.793179241681667,-1.2101821267238346,1.2720898814188892,0.804175253011314,2.583593452605183
1,-3,-4,-0.13200000000000012,-0.2519999999999527,345428,7.954452177004048,7.941789079526972,7.890678729119209,7.925649445476653,7.725379303770631,9.021365864055007,8.998354882834912,9.366464119282359,9.7213394553035,-1.1831278000303618,-1.0565658033079401,-1.0400493586993385,0.0,-0.6973221584337823,-0.9081747555334072,1.0565658033079401,1.1673433061623726,3.0676692495405824
1,-3,-3,-0.13200000000000012,-0.18899999999996453,347762,7.893430593466786,7.9043285099088285,7.861145532911738,7.466981902928277,7.458662079335708,9.165768040956927,8.567925066452753,9.27722801609756,9.579849882111413,-0.8065311404880839,-0.6635965565439248,-0.6543152622774215,0.0,-0.4649153530321435,-0.5219687350548412,0.6635965565439248,1.6331601585464384,3.518882737788638
1,-3,-2,-0.13200000000000012,-0.12599999999997635,350002,7.962790664691187,7.981070963615282,7.941752378505985,7.048301280958359,7.3158840856665766,9.335830649022663,8.059806371465758,9.226256541033083,9.450575228893543,-0.20387529990434228,-0.07873540785047606,-0.08179567465614745,0.0,-0.058101980318731705,-0.05778623045077147,0.07873540785047606,2.1975182277974037,3.8096823526439936
1,-3,-1,-0.13200000000000012,-0.06299999999998818,352304,8.139528267065442,8.157306952461036,8.117142796535955,6.743869993452653,7.330033904105219,9.517402699678984,7.473159054191694,9.219309322831984,9.343705107171147,0.5811424414416528,0.6841478982693427,0.6637784963283462,0.0,0.5197634321128408,0.47996163470324227,-0.6841478982693427,2.822974615202128,3.7919138679848547
1,-3,0,-0.13200000000000012,0.0,354249,8.381953552102772,8.403313241909753,8.358061164540509,6.630819638516238,7.497639076449574,9.699004386310826,6.822831926771752,9.257201298579012,9.269293900960559,1.4942924506942878,1.5804813151380017,1.5400248015458349,0.0,1.1894015330304368,1.0900218668096908,-1.5804813151380017,3.4129635171844317,3.433461244437253
1,-3,1,-0.13200000000000012,0.06299999999998818,352184,8.657904846383593,8.68599813052866,8.632569979801179,6.743869993452653,7.780938020194174,9.87245151106329,6.158488603873727,9.335575179438807,9.23527900460613,2.4457409290254297,2.5275095266549323,2.4688827407290086,0.0,1.7941157295667267,1.7734535071839481,-2.5275095266549323,3.8046957863099937,2.8656769568598985
1,-3,2,-0.13200000000000012,0.12599999999997635,349939,8.94013479090747,8.977524720707299,8.91410604148807,7.048301280958359,8.128764254835655,10.032631276155422,5.594555379082346,9.446082451772163,9.245557890894249,3.2915625606846257,3.3829693416249533,3.3154589020292358,0.0,2.17008564654609,2.5298807802776064,-3.3829693416249533,3.854893647475026,2.2509734270179607
1,-3,3,-0.13200000000000012,0.18899999999996453,347796,9.212533168182334,9.25850288142151,9.184335713899143,7.466981902928277,8.496207127251022,10.176892901149081,5.314986926649878,9.578395020954225,9.29893458310594,3.844221641707124,3.943515954771632,3.8826390897504135,0.0,2.2608733143690456,3.348724923472793,-3.943515954771632,3.5822512355474814,1.689848541316417
1,-3,4,-0.13200000000000012,0.2519999999999527,345489,9.451861160807146,9.517467424289906,9.432541680754278,7.925649445476653,8.852502473344602,10.304365795877384,5.454585980347993,9.722208743669611,9.38945041352661,3.9583997786311604,4.062881443941913,4.018689010244265,0.0,2.1372118536117517,4.190299592273337,-4.062881443941913,3.1348925413916344,1.2229419627069653
1,-3,5,-0.13200000000000012,0.3149999999999409,343131,9.671954695823434,9.7489375440482,9.65371720979305,8.374197591317966,9.180241313320657,10.415360295111869,5.941802879382998,9.868651546713453,9.507932621456735,3.709079458465765,3.8071346646652025,3.7763869865321373,0.0,1.9052057910540032,4.950298603309083,-3.8071346646652025,2.6468296099317756,0.8562983145456684
1,-3,6,-0.13200000000000012,0.37799999999992906,340788,9.886674637825255,9.951408591228692,9.846627744693604,8.785843336086442,9.471624851892196,10.510901738820724,6.588269417783755,10.010944206668324,9.644041967114434,3.291494924272018,3.363139173444937,3.3385352501903025,0.0,1.6410086322263782,5.4301050107501725,-3.363139173444937,2.189465996961073,0.5798799470188705
1,-2,-6,-0.08800000000000008,-0.37799999999992906,343893,7.860719173561434,7.813056614784079,7.747568284365874,8.595400521004642,8.083490811716896,8.378979117726844,9.634262291758764,9.35140626923866,9.843729378680774,-1.8894019942268203,-1.8212056769746852,-1.7948863314415586,0.0,-1.065957693890585,-1.9253866781504687,1.8212056769746852,0.15546822273728722,1.7228076384653832
1,-2,-5,-0.08800000000000008,-0.3149999999999409,346220,7.5355140957666285,7.500696568257408,7.449714270299111,8.116045630446685,7.614720778741569,8.450539313144738,9.327804226177568,9.169551554793042,9.665798353884009,-1.9082905930617882,-1.82710765792016,-1.79925175292788,0.0,-1.132392719793648,-1.6965469000842646,1.82710765792016,0.34341737570925446,2.044837840063053
