year,month,day_num,direction,model,lag,daily_mean,mean_pair_count,mean_model,normalized,n_anchor_obs,hour_1,n_pairs_hour_1,residual_var_hour_1,hour_2,n_pairs_hour_2,residual_var_hour_2,hour_3,n_pairs_hour_3,residual_var_hour_3,hour_4,n_pairs_hour_4,residual_var_hour_4,hour_5,n_pairs_hour_5,residual_var_hour_5,hour_6,n_pairs_hour_6,residual_var_hour_6,hour_7,n_pairs_hour_7,residual_var_hour_7,hour_8,n_pairs_hour_8,residual_var_hour_8
2022,7,1,lat,Debiased_Whittle,1.9360,6.0598,10950.1250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,4.3537,11029,4.4283,5.8134,11048,5.6412,6.5530,11003,6.6257,7.5524,10990,7.7641,7.1044,10992,7.5375,6.4268,11017,6.5426,5.8861,10886,6.2238,4.7888,10636.0000,5.2550
2022,7,1,lat,Debiased_Whittle,2.1560,6.0504,10172.1250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,4.2904,10242,4.4283,5.6093,10259,5.6412,6.5537,10223,6.6257,7.7003,10202,7.7641,7.2747,10205,7.5375,6.3770,10234,6.5426,5.8591,10114,6.2238,4.7386,9898.0000,5.2550
2022,7,1,lon,Debiased_Whittle,0.0630,3.4910,17806.8750,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,2.6417,17915,4.4283,3.7347,17943,5.6412,4.1960,17885,6.6257,4.3055,17855,7.7641,3.8489,17856,7.5375,3.7502,17870,6.5426,3.0085,17718,6.2238,2.4425,17413.0000,5.2550
2022,7,1,lon,Debiased_Whittle,0.1260,4.2232,17673.7500,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,3.0026,17798,4.4283,4.4735,17829,5.6412,5.0780,17758,6.6257,5.3845,17723,7.7641,4.7348,17721,7.5375,4.4725,17749,6.5426,3.7027,17578,6.2238,2.9372,17234.0000,5.2550
2022,7,1,lon,Debiased_Whittle,0.1800,4.6044,17548.2500,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,3.3045,17684,4.4283,4.8278,17715,5.6412,5.4472,17637,6.6257,5.9010,17594,7.7641,5.1799,17591,7.5375,4.8575,17634,6.5426,4.0718,17443,6.2238,3.2454,17088.0000,5.2550
2022,7,1,lon,Debiased_Whittle,0.3690,5.1092,17198.2500,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,3.6627,17342,4.4283,4.9457,17373,5.6412,5.7955,17291,6.6257,6.5627,17241,7.7641,5.8219,17233,7.5375,5.4713,17293,6.5426,4.7897,17084,6.2238,3.8238,16729.0000,5.2550
2022,7,1,lon,Debiased_Whittle,0.5580,5.4216,16855.5000,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,3.7146,17001,4.4283,5.1952,17032,5.6412,6.1265,16949,6.6257,6.9048,16898,7.7641,6.2270,16891,7.5375,5.9395,16955,6.5426,5.1920,16744,6.2238,4.0735,16374.0000,5.2550
2022,7,1,lon,Debiased_Whittle,0.7470,5.5469,16515.0000,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,3.8015,16659,4.4283,5.3770,16691,5.6412,6.2135,16608,6.6257,6.9438,16556,7.7641,6.5199,16549,7.5375,6.1042,16614,6.5426,5.2869,16399,6.2238,4.1285,16044.0000,5.2550
2022,7,1,lon,Debiased_Whittle,0.9360,5.6228,16177.7500,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,3.8725,16318,4.4283,5.4876,16350,5.6412,6.3118,16269,6.6257,7.1808,16215,7.7641,6.7465,16208,7.5375,6.1223,16275,6.5426,5.1313,16058,6.2238,4.1294,15729.0000,5.2550
2022,7,1,lon,Debiased_Whittle,1.1250,5.7226,15839.1250,model_specific_anchor_gls_hour_dummy_plus_lat_lon,False,1515,3.9891,15976,4.4283,5.5132,16008,5.6412,6.4243,15927,6.6257,7.4594,15875,7.7641,6.9090,15867,7.5375,6.0905,15932,6.5426,5.1979,15725,6.2238,4.1970,15403.0000,5.2550
