year,month,day_num,direction,model,rmse,mae,bias_emp_minus_fit,mean_model,normalized,sigma,range_lat,range_lon,range_time,nugget
2022,7,10,lat,Vecchia_mm20,0.0574,0.0479,0.0131,hour_dummy_plus_lat_lon_ols,True,12.0629,0.4520,0.4892,2.4367,2.5742
2022,7,10,lon,Corridor_4x4_lag643,0.1420,0.1309,-0.1309,hour_dummy_plus_lat_lon_ols,True,9.9370,0.2100,0.1992,1.2940,1.4960
2022,7,10,lon,Debiased_Whittle,0.2095,0.1924,-0.1924,hour_dummy_plus_lat_lon_ols,True,6.5064,0.1338,0.1096,0.9013,1.2877
2022,7,10,lon,Vecchia_mm20,0.0636,0.0595,-0.0113,hour_dummy_plus_lat_lon_ols,True,12.0629,0.4520,0.4892,2.4367,2.5742
2022,7,11,lat,Corridor_4x4_lag643,0.1244,0.1129,-0.1129,hour_dummy_plus_lat_lon_ols,True,5.9939,0.1915,0.2049,1.0377,1.3456
2022,7,11,lat,Debiased_Whittle,0.1519,0.1361,-0.1361,hour_dummy_plus_lat_lon_ols,True,5.0045,0.1436,0.1381,0.8876,0.9998
2022,7,11,lat,Vecchia_mm20,0.0566,0.0510,-0.0159,hour_dummy_plus_lat_lon_ols,True,7.7134,0.4406,0.5486,2.1837,1.8289
2022,7,11,lon,Corridor_4x4_lag643,0.1994,0.1879,-0.1879,hour_dummy_plus_lat_lon_ols,True,5.9939,0.1915,0.2049,1.0377,1.3456
2022,7,11,lon,Debiased_Whittle,0.2360,0.2244,-0.2244,hour_dummy_plus_lat_lon_ols,True,5.0045,0.1436,0.1381,0.8876,0.9998
2022,7,11,lon,Vecchia_mm20,0.0879,0.0822,-0.0469,hour_dummy_plus_lat_lon_ols,True,7.7134,0.4406,0.5486,2.1837,1.8289
2022,7,12,lat,Corridor_4x4_lag643,0.0924,0.0713,-0.0713,hour_dummy_plus_lat_lon_ols,True,8.4238,0.2134,0.2091,1.1038,1.3961
2022,7,12,lat,Debiased_Whittle,0.0973,0.0748,-0.0748,hour_dummy_plus_lat_lon_ols,True,8.3647,0.2047,0.1782,1.1813,1.3371
2022,7,12,lat,Vecchia_mm20,0.0184,0.0133,0.0030,hour_dummy_plus_lat_lon_ols,True,9.7008,0.4259,0.5003,2.2076,2.3192
2022,7,12,lon,Corridor_4x4_lag643,0.1769,0.1550,-0.1550,hour_dummy_plus_lat_lon_ols,True,8.4238,0.2134,0.2091,1.1038,1.3961
2022,7,12,lon,Debiased_Whittle,0.1945,0.1719,-0.1719,hour_dummy_plus_lat_lon_ols,True,8.3647,0.2047,0.1782,1.1813,1.3371
2022,7,12,lon,Vecchia_mm20,0.0682,0.0582,-0.0404,hour_dummy_plus_lat_lon_ols,True,9.7008,0.4259,0.5003,2.2076,2.3192
2022,7,13,lat,Corridor_4x4_lag643,0.0847,0.0703,-0.0613,hour_dummy_plus_lat_lon_ols,True,7.8807,0.1667,0.1766,1.1025,1.9613
2022,7,13,lat,Debiased_Whittle,0.1210,0.0959,-0.0868,hour_dummy_plus_lat_lon_ols,True,5.9158,0.1302,0.1335,0.8362,1.9232
