time_index,anchor_index,latitude_grid_index,longitude_grid_index,moving_latitude,moving_longitude,standardized_moving_latitude,standardized_moving_longitude,source_latitude,source_longitude
3,5,1,0,-0.2,-0.6,-1,-2,0.04,-1.2
3,6,1,1,-0.2,-0.3,-1,-1,0.04,-0.9
3,7,1,2,-0.2,0,-1,0,0.04,-0.6
3,8,1,3,-0.2,0.3,-1,1,0.04,-0.3
3,9,1,4,-0.2,0.6,-1,2,0.04,-1.11022302463e-16
3,10,2,0,0,-0.6,0,-2,0.24,-1.2
3,11,2,1,0,-0.3,0,-1,0.24,-0.9
3,12,2,2,0,0,0,0,0.24,-0.6
3,13,2,3,0,0.3,0,1,0.24,-0.3
3,14,2,4,0,0.6,0,2,0.24,-1.11022302463e-16
3,15,3,0,0.2,-0.6,1,-2,0.44,-1.2
3,16,3,1,0.2,-0.3,1,-1,0.44,-0.9
3,17,3,2,0.2,0,1,0,0.44,-0.6
3,18,3,3,0.2,0.3,1,1,0.44,-0.3
3,19,3,4,0.2,0.6,1,2,0.44,-1.11022302463e-16
3,20,4,0,0.4,-0.6,2,-2,0.64,-1.2
3,21,4,1,0.4,-0.3,2,-1,0.64,-0.9
3,22,4,2,0.4,0,2,0,0.64,-0.6
3,23,4,3,0.4,0.3,2,1,0.64,-0.3
3,24,4,4,0.4,0.6,2,2,0.64,-1.11022302463e-16
4,0,0,0,-0.4,-0.6,-2,-2,-0.08,-1.4
4,1,0,1,-0.4,-0.3,-2,-1,-0.08,-1.1
4,2,0,2,-0.4,0,-2,0,-0.08,-0.8
4,3,0,3,-0.4,0.3,-2,1,-0.08,-0.5
4,4,0,4,-0.4,0.6,-2,2,-0.08,-0.2
4,5,1,0,-0.2,-0.6,-1,-2,0.12,-1.4
4,6,1,1,-0.2,-0.3,-1,-1,0.12,-1.1
4,7,1,2,-0.2,0,-1,0,0.12,-0.8
4,8,1,3,-0.2,0.3,-1,1,0.12,-0.5
4,9,1,4,-0.2,0.6,-1,2,0.12,-0.2
4,10,2,0,0,-0.6,0,-2,0.32,-1.4
4,11,2,1,0,-0.3,0,-1,0.32,-1.1
4,12,2,2,0,0,0,0,0.32,-0.8
4,13,2,3,0,0.3,0,1,0.32,-0.5
4,14,2,4,0,0.6,0,2,0.32,-0.2
4,15,3,0,0.2,-0.6,1,-2,0.52,-1.4
4,16,3,1,0.2,-0.3,1,-1,0.52,-1.1
4,17,3,2,0.2,0,1,0,0.52,-0.8
4,18,3,3,0.2,0.3,1,1,0.52,-0.5
4,19,3,4,0.2,0.6,1,2,0.52,-0.2
4,20,4,0,0.4,-0.6,2,-2,0.72,-1.4
4,21,4,1,0.4,-0.3,2,-1,0.72,-1.1
4,22,4,2,0.4,0,2,0,0.72,-0.8
4,23,4,3,0.4,0.3,2,1,0.72,-0.5
4,24,4,4,0.4,0.6,2,2,0.72,-0.2
5,0,0,0,-0.4,-0.6,-2,-2,0,-1.6
5,1,0,1,-0.4,-0.3,-2,-1,0,-1.3
5,2,0,2,-0.4,0,-2,0,0,-1
5,3,0,3,-0.4,0.3,-2,1,0,-0.7
