rectangle_index,rectangle_id,spatial_endpoint_p,spatial_endpoint_q,time_endpoint_k,time_endpoint_l,moving_displacement_lat,moving_displacement_lon,standardized_spatial_distance,temporal_lag,orientation_convention,null_variance_raw,standardized_null_variance_check,single_intrinsic_objective
130,s000_005_t03_04,0,5,3,4,0.2,0,1,1,"+p,k;-q,k;-p,l;+q,l",13.2479440799,1,0.313382165798
131,s000_005_t03_05,0,5,3,5,0.2,0,1,2,"+p,k;-q,k;-p,l;+q,l",20.2152709549,1,0.213267388675
132,s000_005_t03_06,0,5,3,6,0.2,0,1,3,"+p,k;-q,k;-p,l;+q,l",23.8795107421,1,0.138622129769
133,s000_005_t03_07,0,5,3,7,0.2,0,1,4,"+p,k;-q,k;-p,l;+q,l",25.8065989151,1,0.0884903237043
134,s000_005_t04_05,0,5,4,5,0.2,0,1,1,"+p,k;-q,k;-p,l;+q,l",13.2479440799,1,0.313382165798
135,s000_005_t04_06,0,5,4,6,0.2,0,1,2,"+p,k;-q,k;-p,l;+q,l",20.2152709549,1,0.213267388675
136,s000_005_t04_07,0,5,4,7,0.2,0,1,3,"+p,k;-q,k;-p,l;+q,l",23.8795107421,1,0.138622129769
137,s000_005_t05_06,0,5,5,6,0.2,0,1,1,"+p,k;-q,k;-p,l;+q,l",13.2479440799,1,0.313382165798
138,s000_005_t05_07,0,5,5,7,0.2,0,1,2,"+p,k;-q,k;-p,l;+q,l",20.2152709549,1,0.213267388675
139,s000_005_t06_07,0,5,6,7,0.2,0,1,1,"+p,k;-q,k;-p,l;+q,l",13.2479440799,1,0.313382165798
140,s000_006_t00_01,0,6,0,1,0.2,0.3,1.41421356237,1,"+p,k;-q,k;-p,l;+q,l",14.9921386791,1,0.201898897668
141,s000_006_t00_02,0,6,0,2,0.2,0.3,1.41421356237,2,"+p,k;-q,k;-p,l;+q,l",22.8767681812,1,0.152964889484
142,s000_006_t00_03,0,6,0,3,0.2,0.3,1.41421356237,3,"+p,k;-q,k;-p,l;+q,l",27.0234335592,1,0.108068481038
143,s000_006_t00_04,0,6,0,4,0.2,0.3,1.41421356237,4,"+p,k;-q,k;-p,l;+q,l",29.2042378381,1,0.0731884979739
144,s000_006_t00_05,0,6,0,5,0.2,0.3,1.41421356237,5,"+p,k;-q,k;-p,l;+q,l",30.3511611777,1,0.0482531635667
145,s000_006_t00_06,0,6,0,6,0.2,0.3,1.41421356237,6,"+p,k;-q,k;-p,l;+q,l",30.954348341,1,0.0312343733484
146,s000_006_t00_07,0,6,0,7,0.2,0.3,1.41421356237,7,"+p,k;-q,k;-p,l;+q,l",31.2715750827,1,0.0199510260929
147,s000_006_t01_02,0,6,1,2,0.2,0.3,1.41421356237,1,"+p,k;-q,k;-p,l;+q,l",14.9921386791,1,0.201898897668
148,s000_006_t01_03,0,6,1,3,0.2,0.3,1.41421356237,2,"+p,k;-q,k;-p,l;+q,l",22.8767681812,1,0.152964889484
149,s000_006_t01_04,0,6,1,4,0.2,0.3,1.41421356237,3,"+p,k;-q,k;-p,l;+q,l",27.0234335592,1,0.108068481038
150,s000_006_t01_05,0,6,1,5,0.2,0.3,1.41421356237,4,"+p,k;-q,k;-p,l;+q,l",29.2042378381,1,0.0731884979739
151,s000_006_t01_06,0,6,1,6,0.2,0.3,1.41421356237,5,"+p,k;-q,k;-p,l;+q,l",30.3511611777,1,0.0482531635667
152,s000_006_t01_07,0,6,1,7,0.2,0.3,1.41421356237,6,"+p,k;-q,k;-p,l;+q,l",30.954348341,1,0.0312343733484
153,s000_006_t02_03,0,6,2,3,0.2,0.3,1.41421356237,1,"+p,k;-q,k;-p,l;+q,l",14.9921386791,1,0.201898897668
154,s000_006_t02_04,0,6,2,4,0.2,0.3,1.41421356237,2,"+p,k;-q,k;-p,l;+q,l",22.8767681812,1,0.152964889484
155,s000_006_t02_05,0,6,2,5,0.2,0.3,1.41421356237,3,"+p,k;-q,k;-p,l;+q,l",27.0234335592,1,0.108068481038
156,s000_006_t02_06,0,6,2,6,0.2,0.3,1.41421356237,4,"+p,k;-q,k;-p,l;+q,l",29.2042378381,1,0.0731884979739
157,s000_006_t02_07,0,6,2,7,0.2,0.3,1.41421356237,5,"+p,k;-q,k;-p,l;+q,l",30.3511611777,1,0.0482531635667
158,s000_006_t03_04,0,6,3,4,0.2,0.3,1.41421356237,1,"+p,k;-q,k;-p,l;+q,l",14.9921386791,1,0.201898897668
159,s000_006_t03_05,0,6,3,5,0.2,0.3,1.41421356237,2,"+p,k;-q,k;-p,l;+q,l",22.8767681812,1,0.152964889484
160,s000_006_t03_06,0,6,3,6,0.2,0.3,1.41421356237,3,"+p,k;-q,k;-p,l;+q,l",27.0234335592,1,0.108068481038
161,s000_006_t03_07,0,6,3,7,0.2,0.3,1.41421356237,4,"+p,k;-q,k;-p,l;+q,l",29.2042378381,1,0.0731884979739
162,s000_006_t04_05,0,6,4,5,0.2,0.3,1.41421356237,1,"+p,k;-q,k;-p,l;+q,l",14.9921386791,1,0.201898897668
163,s000_006_t04_06,0,6,4,6,0.2,0.3,1.41421356237,2,"+p,k;-q,k;-p,l;+q,l",22.8767681812,1,0.152964889484
164,s000_006_t04_07,0,6,4,7,0.2,0.3,1.41421356237,3,"+p,k;-q,k;-p,l;+q,l",27.0234335592,1,0.108068481038
165,s000_006_t05_06,0,6,5,6,0.2,0.3,1.41421356237,1,"+p,k;-q,k;-p,l;+q,l",14.9921386791,1,0.201898897668
166,s000_006_t05_07,0,6,5,7,0.2,0.3,1.41421356237,2,"+p,k;-q,k;-p,l;+q,l",22.8767681812,1,0.152964889484
167,s000_006_t06_07,0,6,6,7,0.2,0.3,1.41421356237,1,"+p,k;-q,k;-p,l;+q,l",14.9921386791,1,0.201898897668
168,s000_007_t00_01,0,7,0,1,0.2,0.6,2.2360679775,1,"+p,k;-q,k;-p,l;+q,l",16.4174291744,1,0.0884703467098
169,s000_007_t00_02,0,7,0,2,0.2,0.6,2.2360679775,2,"+p,k;-q,k;-p,l;+q,l",25.0516440248,1,0.0750760118551
170,s000_007_t00_03,0,7,0,3,0.2,0.6,2.2360679775,3,"+p,k;-q,k;-p,l;+q,l",29.5925295256,1,0.0592827738267
171,s000_007_t00_04,0,7,0,4,0.2,0.6,2.2360679775,4,"+p,k;-q,k;-p,l;+q,l",31.9806611031,1,0.0441800923539
172,s000_007_t00_05,0,7,0,5,0.2,0.6,2.2360679775,5,"+p,k;-q,k;-p,l;+q,l",33.2366215167,1,0.0314925626653
173,s000_007_t00_06,0,7,0,6,0.2,0.6,2.2360679775,6,"+p,k;-q,k;-p,l;+q,l",33.8971531956,1,0.0217052179035
174,s000_007_t00_07,0,7,0,7,0.2,0.6,2.2360679775,7,"+p,k;-q,k;-p,l;+q,l",34.244538427,1,0.0145831820834
175,s000_007_t01_02,0,7,1,2,0.2,0.6,2.2360679775,1,"+p,k;-q,k;-p,l;+q,l",16.4174291744,1,0.0884703467098
176,s000_007_t01_03,0,7,1,3,0.2,0.6,2.2360679775,2,"+p,k;-q,k;-p,l;+q,l",25.0516440248,1,0.0750760118551
177,s000_007_t01_04,0,7,1,4,0.2,0.6,2.2360679775,3,"+p,k;-q,k;-p,l;+q,l",29.5925295256,1,0.0592827738267
178,s000_007_t01_05,0,7,1,5,0.2,0.6,2.2360679775,4,"+p,k;-q,k;-p,l;+q,l",31.9806611031,1,0.0441800923539
179,s000_007_t01_06,0,7,1,6,0.2,0.6,2.2360679775,5,"+p,k;-q,k;-p,l;+q,l",33.2366215167,1,0.0314925626653
180,s000_007_t01_07,0,7,1,7,0.2,0.6,2.2360679775,6,"+p,k;-q,k;-p,l;+q,l",33.8971531956,1,0.0217052179035
181,s000_007_t02_03,0,7,2,3,0.2,0.6,2.2360679775,1,"+p,k;-q,k;-p,l;+q,l",16.4174291744,1,0.0884703467098
182,s000_007_t02_04,0,7,2,4,0.2,0.6,2.2360679775,2,"+p,k;-q,k;-p,l;+q,l",25.0516440248,1,0.0750760118551
183,s000_007_t02_05,0,7,2,5,0.2,0.6,2.2360679775,3,"+p,k;-q,k;-p,l;+q,l",29.5925295256,1,0.0592827738267
184,s000_007_t02_06,0,7,2,6,0.2,0.6,2.2360679775,4,"+p,k;-q,k;-p,l;+q,l",31.9806611031,1,0.0441800923539
185,s000_007_t02_07,0,7,2,7,0.2,0.6,2.2360679775,5,"+p,k;-q,k;-p,l;+q,l",33.2366215167,1,0.0314925626653
186,s000_007_t03_04,0,7,3,4,0.2,0.6,2.2360679775,1,"+p,k;-q,k;-p,l;+q,l",16.4174291744,1,0.0884703467098
187,s000_007_t03_05,0,7,3,5,0.2,0.6,2.2360679775,2,"+p,k;-q,k;-p,l;+q,l",25.0516440248,1,0.0750760118551
188,s000_007_t03_06,0,7,3,6,0.2,0.6,2.2360679775,3,"+p,k;-q,k;-p,l;+q,l",29.5925295256,1,0.0592827738267
189,s000_007_t03_07,0,7,3,7,0.2,0.6,2.2360679775,4,"+p,k;-q,k;-p,l;+q,l",31.9806611031,1,0.0441800923539
190,s000_007_t04_05,0,7,4,5,0.2,0.6,2.2360679775,1,"+p,k;-q,k;-p,l;+q,l",16.4174291744,1,0.0884703467098
191,s000_007_t04_06,0,7,4,6,0.2,0.6,2.2360679775,2,"+p,k;-q,k;-p,l;+q,l",25.0516440248,1,0.0750760118551
192,s000_007_t04_07,0,7,4,7,0.2,0.6,2.2360679775,3,"+p,k;-q,k;-p,l;+q,l",29.5925295256,1,0.0592827738267
193,s000_007_t05_06,0,7,5,6,0.2,0.6,2.2360679775,1,"+p,k;-q,k;-p,l;+q,l",16.4174291744,1,0.0884703467098
194,s000_007_t05_07,0,7,5,7,0.2,0.6,2.2360679775,2,"+p,k;-q,k;-p,l;+q,l",25.0516440248,1,0.0750760118551
