basis,mode,time_index,leading_temporal_factor,time_energy_fraction
fitted_null,38,4,0.233551645573,0.150644975763
fitted_null,38,5,0.308396952617,0.14163778719
fitted_null,38,6,0.305288096082,0.0946182519097
fitted_null,38,7,0.581969114009,0.181293577169
fitted_null,39,0,0.0435404236681,0.0789775402736
fitted_null,39,1,-0.272774919649,0.0985788937858
fitted_null,39,2,0.70301798905,0.310941381005
fitted_null,39,3,-0.553318378836,0.206180500753
fitted_null,39,4,-0.141784438609,0.0894110118127
fitted_null,39,5,0.307065126179,0.112866747607
fitted_null,39,6,0.00952830318571,0.0366757120347
fitted_null,39,7,-0.0939145682139,0.0663682127284
fitted_null,40,0,0.0551575419082,0.0414295035587
fitted_null,40,1,-0.378736423982,0.132867836367
fitted_null,40,2,0.702560376016,0.341916377491
fitted_null,40,3,-0.458058501835,0.193537072524
fitted_null,40,4,-0.18779921583,0.0923446346659
fitted_null,40,5,0.325315906024,0.110684156709
fitted_null,40,6,0.0119287490718,0.0414158415335
fitted_null,40,7,-0.094161639938,0.0458045771509
fitted_null,41,0,-0.0421601456955,0.0559889661213
fitted_null,41,1,-0.0292854603435,0.042316624042
fitted_null,41,2,-0.0579183155287,0.0638358732102
fitted_null,41,3,-0.0858444509016,0.0662184581442
fitted_null,41,4,0.0235991034589,0.0839633965354
fitted_null,41,5,-0.122153495944,0.0656256533913
fitted_null,41,6,-0.654836567311,0.28031423179
fitted_null,41,7,0.736445353547,0.341736796765
fitted_null,42,0,-0.472360362099,0.126713381121
fitted_null,42,1,-0.160196018809,0.0716581823387
fitted_null,42,2,-0.0915536997747,0.095929598172
fitted_null,42,3,0.149647547419,0.126891057381
fitted_null,42,4,0.316787170621,0.150488107348
fitted_null,42,5,0.381979476831,0.127254198242
fitted_null,42,6,0.374656370658,0.111062505097
fitted_null,42,7,0.577760008325,0.1900029703
fitted_null,43,0,-0.392575001498,0.107114041894
fitted_null,43,1,0.658741917246,0.205975250375
fitted_null,43,2,-0.228377338586,0.166843894692
fitted_null,43,3,0.0693929844972,0.146310253891
fitted_null,43,4,-0.417626355508,0.148087142888
fitted_null,43,5,0.305011637699,0.139446116211
fitted_null,43,6,0.220273725072,0.0434713419504
fitted_null,43,7,-0.197504363701,0.0427519580998
fitted_null,44,0,-0.282654428005,0.0791547497211
fitted_null,44,1,0.461787835887,0.150305214539
fitted_null,44,2,-0.155879120377,0.12229872185
fitted_null,44,3,-0.24949049786,0.134757818771
fitted_null,44,4,0.58136956901,0.208819899627
fitted_null,44,5,-0.516095610646,0.18496579462
fitted_null,44,6,0.120747421659,0.0727831290945
fitted_null,44,7,0.0372755325585,0.0469146717775
fitted_null,45,0,-0.431408134483,0.158370717485
fitted_null,45,1,0.743324917619,0.348924345933
fitted_null,45,2,-0.254581956746,0.100035375351
fitted_null,45,3,-0.283302124696,0.112663495469
fitted_null,45,4,0.328588135879,0.130281743875
fitted_null,45,5,-0.0844795574139,0.0608425811273
fitted_null,45,6,0.0116120946961,0.0417036707429
fitted_null,45,7,0.0322679777291,0.0471780700173
fitted_null,46,0,-0.0129051871674,0.0557627349858
fitted_null,46,1,-0.0304908352838,0.0316103366795
fitted_null,46,2,0.00337471273451,0.0415791992042
fitted_null,46,3,-0.0583577383406,0.0527356067913
fitted_null,46,4,-0.0275142447211,0.0519623538607
fitted_null,46,5,-0.106213802065,0.0444522510892
fitted_null,46,6,-0.691196447019,0.350112244265
fitted_null,46,7,0.711122926796,0.371785273125
fitted_null,47,0,-0.145539145022,0.0906139774069
fitted_null,47,1,-0.110835084002,0.0830826009268
fitted_null,47,2,-0.148812386342,0.0979746129513
fitted_null,47,3,-0.286778272783,0.12677751684
fitted_null,47,4,-0.154566009533,0.0797206368796
fitted_null,47,5,-0.0818035167458,0.0787580804963
fitted_null,47,6,-0.60129583333,0.215528238308
fitted_null,47,7,0.685571215496,0.227544336191
fitted_null,48,0,-0.00129827281199,0.0264590231927
fitted_null,48,1,-0.216217506709,0.0625234668698
