year,month,day_num,direction,model,rmse,mae,bias_emp_minus_fit,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget
2022,7,13,lat,Corridor_4x4_lag643,4.0925,3.1387,2.6372,7.8807,0.1667,0.1766,1.1025,0.0010,-0.2286,1.9613
2022,7,13,lat,Debiased_Whittle,5.5699,4.5493,4.5493,5.9158,0.1302,0.1335,0.8362,0.0282,-0.0844,1.9232
2022,7,13,lat,Vecchia_mm20,3.2322,2.2757,2.2699,8.3900,0.2970,0.3524,1.7356,0.0146,-0.1255,2.7475
2022,7,13,lon,Corridor_4x4_lag643,0.7459,0.5980,-0.3098,7.8807,0.1667,0.1766,1.1025,0.0010,-0.2286,1.9613
2022,7,13,lon,Debiased_Whittle,1.6718,1.4378,1.4257,5.9158,0.1302,0.1335,0.8362,0.0282,-0.0844,1.9232
2022,7,13,lon,Vecchia_mm20,0.7668,0.6537,-0.6050,8.3900,0.2970,0.3524,1.7356,0.0146,-0.1255,2.7475
2022,7,14,lat,Corridor_4x4_lag643,0.7298,0.5972,0.4465,7.7392,0.1629,0.2222,1.1334,0.0267,-0.1053,2.0607
2022,7,14,lat,Debiased_Whittle,1.3700,1.1746,1.0768,6.9053,0.1342,0.1800,0.9533,-0.0135,0.0984,2.0479
2022,7,14,lat,Vecchia_mm20,0.4377,0.3897,-0.1708,8.1865,0.2833,0.4865,2.0510,0.0249,-0.0730,3.0042
2022,7,14,lon,Corridor_4x4_lag643,0.6664,0.5544,-0.4193,7.7392,0.1629,0.2222,1.1334,0.0267,-0.1053,2.0607
2022,7,14,lon,Debiased_Whittle,0.8041,0.6773,0.1493,6.9053,0.1342,0.1800,0.9533,-0.0135,0.0984,2.0479
2022,7,14,lon,Vecchia_mm20,0.7805,0.6987,-0.5700,8.1865,0.2833,0.4865,2.0510,0.0249,-0.0730,3.0042
2022,7,15,lat,Corridor_4x4_lag643,2.0812,1.5842,0.8393,7.3891,0.2587,0.3042,1.6436,-0.0003,-0.2555,1.3242
2022,7,15,lat,Debiased_Whittle,3.7646,2.9852,2.9852,4.9859,0.1958,0.2401,1.4920,-0.0035,-0.2519,1.1511
2022,7,15,lat,Vecchia_mm20,1.3601,1.0911,-1.0232,11.4249,0.6088,0.9107,3.8926,0.0144,-0.1797,1.9473
2022,7,15,lon,Corridor_4x4_lag643,1.0201,0.9007,-0.4653,7.3891,0.2587,0.3042,1.6436,-0.0003,-0.2555,1.3242
2022,7,15,lon,Debiased_Whittle,1.9980,1.5605,1.5605,4.9859,0.1958,0.2401,1.4920,-0.0035,-0.2519,1.1511
2022,7,15,lon,Vecchia_mm20,1.6027,1.3717,-1.3523,11.4249,0.6088,0.9107,3.8926,0.0144,-0.1797,1.9473
2022,7,16,lat,Corridor_4x4_lag643,1.6182,1.1021,0.7615,7.0951,0.2293,0.2434,1.1543,0.0213,-0.0514,1.4618
2022,7,16,lat,Debiased_Whittle,4.5661,4.1549,4.1549,3.7550,0.1750,0.1850,0.8729,0.0310,-0.0462,0.8658
2022,7,16,lat,Vecchia_mm20,0.9570,0.7620,-0.4384,8.8128,0.4696,0.6457,2.3981,0.0126,-0.1148,2.3046
2022,7,16,lon,Corridor_4x4_lag643,1.0608,0.9162,-0.9162,7.0951,0.2293,0.2434,1.1543,0.0213,-0.0514,1.4618
2022,7,16,lon,Debiased_Whittle,2.5135,2.4286,2.4286,3.7550,0.1750,0.1850,0.8729,0.0310,-0.0462,0.8658
2022,7,16,lon,Vecchia_mm20,1.8340,1.5410,-1.5235,8.8128,0.4696,0.6457,2.3981,0.0126,-0.1148,2.3046
2022,7,17,lat,Corridor_4x4_lag643,1.3442,1.0133,1.0017,6.6508,0.2092,0.2238,0.8544,0.0191,-0.0709,1.4766
2022,7,17,lat,Debiased_Whittle,2.5698,2.1260,2.0838,5.2310,0.1601,0.1632,0.7636,-0.1781,-0.5336,1.2778
2022,7,17,lat,Vecchia_mm20,0.7821,0.6431,0.6431,7.0780,0.3561,0.3911,1.3574,0.0233,-0.0769,2.0265
2022,7,17,lon,Corridor_4x4_lag643,0.3402,0.2389,-0.1217,6.6508,0.2092,0.2238,0.8544,0.0191,-0.0709,1.4766
2022,7,17,lon,Debiased_Whittle,1.2730,1.0869,1.0109,5.2310,0.1601,0.1632,0.7636,-0.1781,-0.5336,1.2778
2022,7,17,lon,Vecchia_mm20,0.5967,0.5457,-0.3827,7.0780,0.3561,0.3911,1.3574,0.0233,-0.0769,2.0265
2022,7,18,lat,Corridor_4x4_lag643,2.1254,1.3972,1.0887,7.6444,0.3084,0.3780,1.5638,-0.0109,-0.0510,0.6578
2022,7,18,lat,Debiased_Whittle,4.4676,3.6972,3.6972,4.5187,0.2022,0.2239,1.2366,-0.0007,-0.1727,0.2940
2022,7,18,lat,Vecchia_mm20,1.0615,0.8447,0.0117,10.4509,0.6249,0.7294,2.8237,-0.0178,-0.0604,0.9167
2022,7,18,lon,Corridor_4x4_lag643,0.6116,0.4847,-0.1381,7.6444,0.3084,0.3780,1.5638,-0.0109,-0.0510,0.6578
2022,7,18,lon,Debiased_Whittle,2.6292,2.3373,2.3373,4.5187,0.2022,0.2239,1.2366,-0.0007,-0.1727,0.2940
2022,7,18,lon,Vecchia_mm20,1.1948,1.0129,-0.9181,10.4509,0.6249,0.7294,2.8237,-0.0178,-0.0604,0.9167
2022,7,19,lat,Corridor_4x4_lag643,2.2034,1.5000,1.2980,6.1156,0.1792,0.2162,1.0894,-0.0003,-0.2599,2.1204
2022,7,19,lat,Debiased_Whittle,4.0754,3.5422,3.5422,4.2441,0.1402,0.1594,0.8880,-0.0041,-0.2906,1.4991
2022,7,19,lat,Vecchia_mm20,1.3870,0.8833,0.5624,6.8634,0.3230,0.4290,1.7473,0.0110,-0.1879,2.8659
2022,7,19,lon,Corridor_4x4_lag643,0.5509,0.4777,0.0032,6.1156,0.1792,0.2162,1.0894,-0.0003,-0.2599,2.1204
2022,7,19,lon,Debiased_Whittle,2.3151,2.1588,2.1588,4.2441,0.1402,0.1594,0.8880,-0.0041,-0.2906,1.4991
