year,model,day,sigma,range_lat,range_lon,range_time,advec_lat,advec_lon,nugget,loss,time
2023,Vecchia_mm20,2023-07-2,10.7740,0.2245,0.2937,2.1070,0.0036,-0.0697,2.9197,1.4856,50.4730
2023,Corridor_4x4_lag643,2023-07-03,8.0858,0.1900,0.2287,1.5718,0.0115,-0.0723,2.8134,1.3513,31.7634
2023,Debiased_Whittle,2023-07-3,6.6233,0.1299,0.1638,1.1947,0.0359,-0.0878,3.3147,641601.3440,116.4550
2023,Vecchia_mm20,2023-07-3,10.4627,0.4461,0.6306,3.7250,0.0017,-0.0522,3.9979,1.4502,46.4860
2023,Corridor_4x4_lag643,2023-07-04,9.1719,0.1811,0.1971,1.0936,0.0351,-0.2620,1.2019,1.2140,23.0581
2023,Debiased_Whittle,2023-07-4,9.3581,0.1488,0.1601,1.1396,0.0397,-0.2921,0.8448,207392.0640,76.6078
2023,Vecchia_mm20,2023-07-4,9.3787,0.2616,0.2901,1.4063,0.0260,-0.2293,1.2726,1.2771,34.0340
2023,Corridor_4x4_lag643,2023-07-05,11.3445,0.1786,0.2361,1.1860,-0.0053,-0.3066,1.3691,1.2835,24.4944
2023,Debiased_Whittle,2023-07-5,9.8296,0.1730,0.2312,1.2132,-0.0219,-0.3962,0.8417,53704.8320,76.5406
2023,Vecchia_mm20,2023-07-5,13.7447,0.3640,0.5229,2.1224,-0.0014,-0.2666,2.1564,1.3832,32.6646
2023,Corridor_4x4_lag643,2023-07-06,14.2328,0.2071,0.2504,1.1736,-0.0234,-0.2556,1.3131,1.3205,21.1777
2023,Debiased_Whittle,2023-07-6,12.0909,0.1626,0.1864,1.0010,-0.0391,-0.2836,1.1493,427210.5120,76.4243
2023,Vecchia_mm20,2023-07-6,14.6616,0.3245,0.4480,1.6777,-0.0179,-0.2029,2.0066,1.4189,33.8188
2023,Corridor_4x4_lag643,2023-07-07,12.8291,0.1891,0.2675,1.2266,0.0149,-0.1798,0.9921,1.2468,18.3682
2023,Debiased_Whittle,2023-07-7,11.5421,0.1519,0.2043,0.9545,0.0280,-0.2047,1.0111,353080.7040,94.8530
2023,Vecchia_mm20,2023-07-7,15.6999,0.3024,0.4928,1.9356,0.0053,-0.1862,1.4773,1.3800,33.0799
2023,Corridor_4x4_lag643,2023-07-08,10.9730,0.1786,0.1966,1.0412,0.0128,-0.0571,1.7839,1.3472,24.8980
2023,Debiased_Whittle,2023-07-8,8.9775,0.1282,0.1313,0.7668,0.0527,-0.0913,1.1553,383646.7520,95.0920
2023,Vecchia_mm20,2023-07-8,11.4426,0.3438,0.4299,1.9807,-0.0088,-0.0576,2.7186,1.4191,39.1178
