time_index,anchor_index,latitude_grid_index,longitude_grid_index,moving_latitude,moving_longitude,standardized_moving_latitude,standardized_moving_longitude,source_latitude,source_longitude,rectangle_1_weight_contribution,rectangle_2_weight_contribution,final_weight,is_nonzero
6,15,3,0,0.2,-0.6,1,-2,0.68,-1.8,0,-0,-0,False
6,16,3,1,0.2,-0.3,1,-1,0.68,-1.5,0,-0,-0,False
6,17,3,2,0.2,0,1,0,0.68,-1.2,0,-0,-0,False
6,18,3,3,0.2,0.3,1,1,0.68,-0.9,0,-0,-0,False
6,19,3,4,0.2,0.6,1,2,0.68,-0.6,0,-0,-0,False
6,20,4,0,0.4,-0.6,2,-2,0.88,-1.8,0,-0,-0,False
6,21,4,1,0.4,-0.3,2,-1,0.88,-1.5,0,-0,-0,False
6,22,4,2,0.4,0,2,0,0.88,-1.2,0,-0,-0,False
6,23,4,3,0.4,0.3,2,1,0.88,-0.9,0,-0.126735788204,-0.126735788204,True
6,24,4,4,0.4,0.6,2,2,0.88,-0.6,0,-0,-0,False
7,0,0,0,-0.4,-0.6,-2,-2,0.16,-2,-0.127556335109,-0,-0.127556335109,True
7,1,0,1,-0.4,-0.3,-2,-1,0.16,-1.7,0,-0,-0,False
7,2,0,2,-0.4,0,-2,0,0.16,-1.4,0,-0,-0,False
7,3,0,3,-0.4,0.3,-2,1,0.16,-1.1,0,-0,-0,False
7,4,0,4,-0.4,0.6,-2,2,0.16,-0.8,0,-0,-0,False
7,5,1,0,-0.2,-0.6,-1,-2,0.36,-2,0,-0,-0,False
7,6,1,1,-0.2,-0.3,-1,-1,0.36,-1.7,0,-0,-0,False
7,7,1,2,-0.2,0,-1,0,0.36,-1.4,0,-0,-0,False
7,8,1,3,-0.2,0.3,-1,1,0.36,-1.1,0,-0,-0,False
7,9,1,4,-0.2,0.6,-1,2,0.36,-0.8,0,-0,-0,False
7,10,2,0,0,-0.6,0,-2,0.56,-2,0,-0,-0,False
7,11,2,1,0,-0.3,0,-1,0.56,-1.7,0,-0,-0,False
7,12,2,2,0,0,0,0,0.56,-1.4,0,-0,-0,False
7,13,2,3,0,0.3,0,1,0.56,-1.1,0,-0,-0,False
7,14,2,4,0,0.6,0,2,0.56,-0.8,0,-0,-0,False
7,15,3,0,0.2,-0.6,1,-2,0.76,-2,0,-0,-0,False
7,16,3,1,0.2,-0.3,1,-1,0.76,-1.7,0,-0,-0,False
7,17,3,2,0.2,0,1,0,0.76,-1.4,0,-0,-0,False
7,18,3,3,0.2,0.3,1,1,0.76,-1.1,0,-0,-0,False
7,19,3,4,0.2,0.6,1,2,0.76,-0.8,0,-0,-0,False
7,20,4,0,0.4,-0.6,2,-2,0.96,-2,0,-0,-0,False
7,21,4,1,0.4,-0.3,2,-1,0.96,-1.7,0,-0,-0,False
7,22,4,2,0.4,0,2,0,0.96,-1.4,0,-0,-0,False
7,23,4,3,0.4,0.3,2,1,0.96,-1.1,0,-0,-0,False
7,24,4,4,0.4,0.6,2,2,0.96,-0.8,0.127556335109,-0,0.127556335109,True
