year,month,day_idx,day,domain_group,domain_label,model_variant,model_label,vecchia_loss_per_obs,mean_y2,max_abs_bridge_scaled,local_eigen_rank,n_scores,mean_y2_over_expected,lambda_mean,lambda_sd,lambda_min,lambda_p10,lambda_p25,lambda_median,lambda_p75,lambda_p90,lambda_max
2023,7,0,2023-07-01,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.309586,1.000046,8.241083,12,8762,1.083112,3.490265,0.118141,2.410295,3.466205,3.475874,3.503237,3.545096,3.561192,3.763961
2023,7,0,2023-07-01,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.309586,1.000046,8.241083,13,8553,0.916507,3.334111,0.082114,2.454744,3.296689,3.300620,3.329649,3.367327,3.386165,3.656689
2023,7,0,2023-07-01,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.309586,1.000046,8.241083,14,8513,0.965581,3.142323,0.072857,2.412304,3.113701,3.120567,3.137040,3.149658,3.214525,3.481130
2023,7,0,2023-07-01,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.309586,1.000046,8.241083,15,8440,0.891465,3.066512,0.062932,2.172339,3.050261,3.054687,3.068875,3.080104,3.101736,3.303156
2023,7,0,2023-07-01,full,full,gc_a075_b1,Baseline GC a=0.75 b=1 nugget0 lag432,1.309586,1.000046,8.241083,16,8282,0.906136,2.885839,0.062671,2.379438,2.876734,2.879478,2.884790,2.889945,2.925754,3.111337
2023,7,0,2023-07-01,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.309530,1.000053,8.259220,1,9268,1.027534,28.473739,13.194657,4.020581,18.711914,19.429423,24.534660,34.768845,41.419865,177.999591
2023,7,0,2023-07-01,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.309530,1.000053,8.259220,2,9258,0.966263,10.904051,2.088996,2.685402,8.706090,8.849625,10.301495,12.827520,13.604987,20.020471
2023,7,0,2023-07-01,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.309530,1.000053,8.259220,3,9251,1.047503,9.736712,2.126691,2.563080,8.096621,8.120307,9.027540,11.578294,12.873908,15.416823
2023,7,0,2023-07-01,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.309530,1.000053,8.259220,4,9244,0.987171,6.325168,0.733117,2.505275,5.754922,5.774295,6.187333,6.964547,7.248459,8.762842
2023,7,0,2023-07-01,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.309530,1.000053,8.259220,5,9235,1.053935,5.520633,0.611633,2.575622,5.113719,5.144369,5.490467,5.993649,6.187361,7.372231
2023,7,0,2023-07-01,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.309530,1.000053,8.259220,6,9220,1.060611,5.031890,0.554606,2.485726,4.698667,4.713110,5.038367,5.511226,5.622317,6.262671
2023,7,0,2023-07-01,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.309530,1.000053,8.259220,7,9209,1.049438,4.366731,0.352251,2.480529,4.221825,4.241969,4.381002,4.587793,4.640290,5.385117
2023,7,0,2023-07-01,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.309530,1.000053,8.259220,8,9191,0.978351,4.174040,0.345443,2.411467,4.066875,4.073498,4.200202,4.377252,4.455192,5.189353
2023,7,0,2023-07-01,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.309530,1.000053,8.259220,9,8841,1.036419,3.907554,0.131745,2.460607,3.830733,3.841798,3.901838,3.986258,4.010976,4.539292
2023,7,0,2023-07-01,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.309530,1.000053,8.259220,10,8811,1.041993,3.624551,0.119173,2.525255,3.540136,3.543580,3.631167,3.680212,3.756695,4.130469
2023,7,0,2023-07-01,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.309530,1.000053,8.259220,11,8794,0.995743,3.553417,0.104496,2.442171,3.490427,3.506816,3.552910,3.613909,3.630705,3.946105
2023,7,0,2023-07-01,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.309530,1.000053,8.259220,12,8762,1.078498,3.503245,0.115837,2.438270,3.480403,3.489956,3.516381,3.556265,3.571994,3.769580
2023,7,0,2023-07-01,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.309530,1.000053,8.259220,13,8553,0.911655,3.350472,0.080541,2.482267,3.314525,3.318297,3.346348,3.382456,3.401747,3.665455
2023,7,0,2023-07-01,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.309530,1.000053,8.259220,14,8513,0.959104,3.162022,0.071771,2.440227,3.134319,3.140954,3.156821,3.168946,3.233188,3.493316
2023,7,0,2023-07-01,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.309530,1.000053,8.259220,15,8440,0.885491,3.087736,0.062113,2.202598,3.072159,3.076436,3.090074,3.100855,3.122057,3.319077
2023,7,0,2023-07-01,full,full,fine_tuned_gc,Fine tuned GC day-specific nugget0,1.309530,1.000053,8.259220,16,8282,0.898434,2.910160,0.062125,2.407882,2.901399,2.904050,2.909145,2.914233,2.949513,3.131396
