replicate,curve_rmse_per_n,curve_max_abs_per_n,endpoint_difference_per_n,band_energy_per_mode_rmse,band_energy_per_mode_max_abs
86,0.012723042765073581,0.030992865391938195,0.006315651621927571,0.12639047341218593,0.2815782146005674
87,0.014156340103335573,0.0318201878309484,0.0021164360339759013,0.1246918254474477,0.23076481088748757
88,0.010051244094698642,0.023825064126483327,0.0005935957449469243,0.12304585089288637,0.3153364521697919
89,0.008909639412563775,0.025556903360659647,0.002292110778102483,0.1094183979698303,0.27301868375774974
90,0.01177942742140039,0.026242461531649896,0.004022794260362588,0.10706855835892413,0.23524159219290985
91,0.007671518390158999,0.016770155640947308,-0.0045885333498303284,0.11064440117741499,0.1956067058592943
92,0.015895498586005235,0.03341822695180497,-0.0002755633923003131,0.12519172148719734,0.24167861391041612
93,0.009650313773199458,0.02212960964882143,0.0027336146867313004,0.11517405198670928,0.29161480321272304
94,0.007231414239073508,0.02088265723869128,-0.0017283560255813768,0.11285604255920671,0.24237066051617828
95,0.007647038039057247,0.018505721565396697,0.002192069422184346,0.10447756648834666,0.2504487946858891
96,0.006211367241928899,0.01742189071316133,-0.003211879327485434,0.10884332116429939,0.30503176972128854
97,0.008121363986906565,0.01988173208798301,0.004619745649335698,0.14158724926462787,0.30567412149068396
98,0.008925041933178335,0.02115680872085427,0.0035907242021657737,0.12573634690810928,0.2546711963641717
99,0.008795860006228999,0.01981652814975192,-0.00036548376126660287,0.10151906135184255,0.2552520986802185
100,0.013169732241372424,0.030925395441884617,0.00018483980735496176,0.14631596232242058,0.3082362733966775
101,0.00931433032261146,0.02363322184524321,-0.007050149218680417,0.10433620103154348,0.2155932519016438
102,0.011353336521354283,0.0277082371351257,-0.0008738641154492654,0.09648193819596068,0.19280965126215055
103,0.011278877158908013,0.02557992904230872,-0.0037847670096803655,0.09515101842533337,0.2055619963318044
104,0.009315296616138188,0.020897141163103327,-0.005130179493839933,0.11719927804362544,0.2116854105934023
105,0.01038389357916756,0.027803627428902616,0.0030472186226501207,0.10922217290302987,0.21230190571758845
106,0.008155394080004475,0.022091905745566933,-0.00157957579751411,0.09432109082472688,0.22609919359874386
107,0.009392988193869535,0.020305888091698705,-0.006400011194514974,0.11179135583668867,0.23463854534633533
108,0.010399470109226438,0.02683211758729499,0.0013057006240671854,0.11282611233972147,0.22175332795752012
109,0.011537008956800545,0.025676762383442478,-0.005369432493739623,0.13021510299915062,0.35500472495651025
110,0.011167677393205538,0.03048422056351967,0.005312511917997256,0.14372299167269398,0.3502927669021796
111,0.00975694317413296,0.029486348324540758,-0.004274786549177776,0.13515113944269247,0.4062294902925323
112,0.011319050526722817,0.024689640893208777,-0.0051043979049477176,0.09953979309556514,0.23462054989749648
113,0.00983874800158319,0.021024506996711524,0.003816031498697612,0.12031563373600362,0.24613206932948695
114,0.011392916495987586,0.026423785493064,-0.0016289025548644532,0.11081514078578213,0.3078302199519909
115,0.009809129616950402,0.027331010964173785,-0.0054211793236918025,0.1386224210199039,0.3164510398449393
116,0.012385935708480525,0.02534016185930021,0.0010218649097973299,0.12374112818599121,0.20095722511935432
117,0.015471380154724117,0.03135241570398726,-0.00029832295880552804,0.12138565766766012,0.3077746933880757
118,0.01278648995644934,0.024666123349590237,-7.211571681082773e-05,0.12030123326037592,0.25468447825046414
119,0.010209146014507193,0.024433652340040198,0.0012748375428745361,0.11382086873379177,0.1883995450875232
120,0.013225093475283467,0.028668532435550346,-0.0047754709900506495,0.10743116839688535,0.19294422131025712
121,0.00990913798207248,0.02190330599282767,0.005647785348696033,0.10871866285673562,0.2242933174992343
