operator,reorthogonalization,lanczos_steps,band,rank_start,rank_end,exact_mode_count,estimated_mode_count,exact_energy_per_mode,matrix_free_energy_per_mode,energy_per_mode_error
exact_precision,full,256,1,1,160,160,156.3073512633101,2.3437198272475195,2.3874523497433873,0.04373252249586779
exact_precision,full,256,2,161,320,160,156.66697426498436,1.208799289528254,1.2946542495461262,0.08585496001787218
exact_precision,full,256,3,321,480,160,163.58992637585436,1.0169148561697305,0.9318900332043679,-0.08502482296536262
exact_precision,full,256,4,481,640,160,156.86177933470083,0.8944547446405672,0.90334638376413,0.008891639123562833
exact_precision,full,256,5,641,800,160,154.20679371489462,0.8507717127712816,0.9335545903064764,0.08278287753519475
exact_precision,full,256,6,801,960,160,166.83911761767797,0.6482239284532085,0.5716538494146594,-0.07657007903854918
exact_precision,full,256,7,961,1120,160,165.82043742189285,0.6383480903034894,0.6212663731795794,-0.017081717123909934
exact_precision,full,256,8,1121,1280,160,172.8129901589018,0.6142461883754265,0.6059095293714015,-0.008336659004025027
exact_precision,full,256,9,1281,1440,160,141.85513506737493,0.5932018363977178,0.6161961866880217,0.022994350290303833
exact_precision,full,256,10,1441,1600,160,174.9680947889492,0.8608671712265362,0.8295781173215702,-0.03128905390496606
exact_precision,full,256,11,1601,1760,160,160.54515279604607,0.8110847998659765,0.7445307515057106,-0.0665540483602659
exact_precision,full,256,12,1761,1920,160,157.3817151492426,0.7807463675692603,0.8315088667042548,0.05076249913499453
exact_precision,full,256,13,1921,2080,160,161.37636162951185,0.9560841349551126,0.9621185884586009,0.006034453503488302
exact_precision,full,256,14,2081,2240,160,157.5749608168776,0.9198206874633883,0.9316781218585792,0.011857434395190936
exact_precision,full,256,15,2241,2400,160,160.10179709429485,0.7928534580087074,0.8085174618623003,0.0156640038535929
exact_precision,full,256,16,2401,2560,160,154.99638246621316,0.9553786451631623,0.9815119862256876,0.026133341062525295
exact_precision,full,256,17,2561,2720,160,149.20468063572434,0.8756663609983292,0.8825150717325952,0.0068487107342660725
exact_precision,full,256,18,2721,2880,160,162.12298600787426,0.8326791166708034,0.8521139858043052,0.019434869133501786
exact_precision,full,256,19,2881,3040,160,169.31502172923547,1.0547110897396266,1.008362250507346,-0.046348839232280614
exact_precision,full,256,20,3041,3200,160,157.4523416664406,0.9690712530176228,0.9809264654491995,0.011855212431576723
exact_precision,full,512,1,1,160,160,157.39910724788547,2.3437198272475195,2.379706551534664,0.035986724287144334
exact_precision,full,512,2,161,320,160,156.70555371315885,1.208799289528254,1.232219418633622,0.02342012910536795
exact_precision,full,512,3,321,480,160,161.6877208067749,1.0169148561697305,0.9976553484808,-0.01925950768893059
exact_precision,full,512,4,481,640,160,162.85369373269504,0.8944547446405672,0.9060884753895525,0.011633730748985327
