year,month,day_idx,day,model_variant,model_label,loss,bin_idx,k_mid,ratio_I_over_EI_profile_mean,ratio_I_over_EI_profile_p10,ratio_I_over_EI_profile_p90,ratio_I_over_EI_mean,global_scale,profile_sigmasq
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,60,10.460624,0.801786,0.469962,1.166763,0.786250,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,61,10.633527,0.837940,0.474489,1.265970,0.821704,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,62,10.806429,0.882717,0.488504,1.267770,0.865613,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,63,10.979332,0.845493,0.487864,1.206433,0.829111,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,64,11.152235,0.864721,0.442983,1.183253,0.847965,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,65,11.325138,0.840331,0.500621,1.242423,0.824048,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,66,11.498041,0.769187,0.457423,1.166518,0.754283,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,67,11.670944,0.795273,0.510858,1.195587,0.779864,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,68,11.843847,0.811965,0.502096,1.245581,0.796232,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,69,12.016750,0.789863,0.452401,1.207774,0.774558,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,70,12.189652,0.741258,0.447812,1.069930,0.726896,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,71,12.362555,0.801106,0.490023,1.145878,0.785584,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,72,12.535458,0.763997,0.503160,1.120978,0.749193,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,73,12.708361,0.723103,0.414889,1.116474,0.709091,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,74,12.881264,0.734382,0.451836,1.177241,0.720152,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,75,13.054167,0.796830,0.564049,1.170161,0.781390,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,76,13.227070,0.730473,0.419361,1.104960,0.716319,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,77,13.399972,0.793898,0.433791,1.167507,0.778515,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,78,13.572875,0.728017,0.434432,1.076815,0.713911,0.980624,14.424325
2024,7,0,2024-07-01,matern_s03,Matern s=0.3 nugget0,,79,13.745778,0.843057,0.361989,1.467257,0.826722,0.980624,14.424325
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,0,0.086451,1.347392,1.042112,1.565450,1.286342,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,1,0.259354,1.379677,0.282828,2.904386,1.317164,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,2,0.432257,1.080659,0.592062,1.640754,1.031695,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,3,0.605160,1.240193,0.445124,2.130038,1.184000,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,4,0.778063,0.714398,0.383177,1.170224,0.682028,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,5,0.950966,0.786454,0.429166,1.383920,0.750820,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,6,1.123869,0.995625,0.460754,1.689844,0.950513,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,7,1.296772,0.822950,0.368630,1.612296,0.785662,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,8,1.469674,0.954680,0.399685,1.582976,0.911423,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,9,1.642577,0.922546,0.428104,1.551435,0.880746,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,10,1.815480,0.880870,0.467377,1.359185,0.840957,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,11,1.988383,0.973449,0.472648,1.408090,0.929342,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,12,2.161286,0.965000,0.584033,1.411502,0.921276,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,13,2.334189,1.160236,0.482846,2.012141,1.107665,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,14,2.507092,1.038750,0.584694,1.452490,0.991684,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,15,2.679994,0.982572,0.565093,1.526060,0.938051,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,16,2.852897,0.981513,0.521804,1.479598,0.937041,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,17,3.025800,1.013026,0.592226,1.483967,0.967126,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,18,3.198703,0.993381,0.571766,1.385155,0.948371,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,19,3.371606,1.034883,0.426278,1.663614,0.987992,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,20,3.544509,1.053294,0.591004,1.595576,1.005569,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,21,3.717412,1.052072,0.579861,1.625390,1.004403,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,22,3.890315,1.047933,0.604087,1.556556,1.000451,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,23,4.063217,1.099445,0.677030,1.609271,1.049629,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,24,4.236120,1.069707,0.595052,1.694630,1.021239,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,25,4.409023,1.176221,0.599583,1.848662,1.122926,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,26,4.581926,1.057218,0.610887,1.544310,1.009315,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,27,4.754829,1.062784,0.584238,1.607689,1.014630,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,28,4.927732,1.119288,0.638055,1.692436,1.068573,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,29,5.100635,1.076405,0.556052,1.550496,1.027633,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,30,5.273538,1.039588,0.625387,1.470931,0.992484,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,31,5.446440,1.061956,0.638303,1.511453,1.013839,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,32,5.619343,1.050058,0.620701,1.498572,1.002480,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,33,5.792246,1.063992,0.596202,1.620943,1.015782,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,34,5.965149,1.082260,0.568793,1.635283,1.033222,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,35,6.138052,1.033558,0.594879,1.640005,0.986727,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,36,6.310955,1.072993,0.597927,1.590788,1.024375,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,37,6.483858,1.009575,0.562742,1.501849,0.963831,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,38,6.656761,0.996945,0.607837,1.451794,0.951773,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,39,6.829663,1.101037,0.644972,1.679205,1.051149,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,40,7.002566,1.048513,0.634429,1.493076,1.001005,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,41,7.175469,1.084335,0.616029,1.673061,1.035204,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,42,7.348372,1.056209,0.628002,1.512268,1.008352,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,43,7.521275,1.062913,0.589918,1.644160,1.014752,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,44,7.694178,1.059579,0.589524,1.573338,1.011569,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,45,7.867081,1.033862,0.570470,1.503149,0.987018,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,46,8.039983,1.006014,0.572202,1.447692,0.960432,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,47,8.212886,0.986661,0.562596,1.513336,0.941955,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,48,8.385789,1.012543,0.528359,1.543007,0.966664,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,49,8.558692,0.979747,0.573781,1.448612,0.935355,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,50,8.731595,1.086728,0.609908,1.563071,1.037488,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,51,8.904498,0.972224,0.563214,1.496410,0.928172,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,52,9.077401,0.925256,0.518747,1.397839,0.883333,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,53,9.250304,0.985177,0.531945,1.468711,0.940539,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,54,9.423206,1.006001,0.567358,1.419115,0.960419,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,55,9.596109,0.990775,0.513810,1.516488,0.945883,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,56,9.769012,0.895557,0.483193,1.347565,0.854979,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,57,9.941915,0.935688,0.523528,1.313154,0.893292,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,58,10.114818,0.951649,0.519325,1.336123,0.908530,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,59,10.287721,0.951884,0.581659,1.388246,0.908754,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,60,10.460624,0.852381,0.499867,1.244231,0.813760,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,61,10.633527,0.881110,0.488911,1.353991,0.841187,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,62,10.806429,0.925945,0.536714,1.373994,0.883991,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,63,10.979332,0.895220,0.532977,1.297139,0.854658,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,64,11.152235,0.897367,0.479462,1.303014,0.856707,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,65,11.325138,0.899267,0.545550,1.321150,0.858522,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,66,11.498041,0.823971,0.497832,1.262396,0.786636,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,67,11.670944,0.860859,0.558619,1.276215,0.821853,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,68,11.843847,0.881086,0.533356,1.332945,0.841164,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,69,12.016750,0.853783,0.491736,1.332546,0.815098,0.954690,17.717070
2024,7,0,2024-07-01,gc_a08_b1,GC a=0.8 b=1 nugget0,,70,12.189652,0.802958,0.486896,1.121768,0.766576,0.954690,17.717070
